departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Atlantico,12794,Polonuevo,9135,214,524,camara
Atlantico,9796,Tubara,6626,103,285,camara
Boyaca,4627,Raquira,2262,102,221,camara
Cordoba,18486,Moñitos,10547,625,532,camara
Boyaca,5595,Jenesano,2444,80,184,camara
Risaralda,5711,Balboa,2608,123,227,camara
Consulados,4074,El Salvador,122,0,7,camara
Boyaca,25613,Paipa,14133,254,1245,camara
Boyaca,5898,Socota,2499,106,224,camara
Boyaca,5834,Firavitoba,2502,54,186,camara
Caqueta,15714,El Doncello,5955,250,437,camara
Nariño,125136,Tumaco,57879,2093,4871,camara
Vaupes,16157,Mitu,9314,115,279,camara
Nariño,9827,Tangua,5577,209,329,camara
Valle,8058,El Aguila,3423,130,259,camara
Consulados,133,Irlanda,63,0,10,camara
Consulados,119,Dinamarca,55,0,1,camara
Sucre,8151,El Roble,5987,521,379,camara
Boyaca,7450,Tibana,3287,62,277,camara
Valle,8028,Versalles,3291,94,283,camara
Meta,8319,Puerto Rico,3431,219,489,camara
Boyaca,3655,San Mateo,1778,83,61,camara
Meta,8217,La Macarena,2608,202,258,camara
Norte De San,4016,Bucarasica,2013,87,131,camara
Consulados,4525,Israel,102,4,1,camara
Magdalena,16551,San Sebastian De Buenavista,9368,179,457,camara
Antioquia,7148,Buritica,2758,111,183,camara
Boyaca,41421,Chiquinquira,20570,398,2180,camara
Tolima,10205,Armero (guayabal),4718,224,541,camara
Cundinamarca,32085,Ubate,15703,411,2491,camara
Boyaca,11841,Garagoa,5906,97,490,camara
Norte De San,2194,Cacota,1296,24,73,camara
Antioquia,8409,Entrerrios,3210,81,263,camara
Caldas,19505,Neira,9547,396,1005,camara
Cauca,14744,Timbiqui,7988,99,488,camara
Cauca,18003,Argelia,6554,281,407,camara
Nariño,6573,Alban (san Jose),4448,172,298,camara
Consulados,3750,Republica De Singapur,50,0,0,camara
Cundinamarca,3820,Tibacuy,1830,77,135,camara
Bolivar,13548,Cordoba,8575,139,473,camara
Meta,3062,El Dorado,1810,111,111,camara
Santander,187167,Floridablanca,105589,2437,9887,camara
Boyaca,2760,Labranzagrande,1772,28,132,camara
Antioquia,24315,Bolivar,8368,344,752,camara
Consulados,3870,Jamaica,41,2,2,camara
Boyaca,3682,Sutatenza,2000,79,150,camara
Cesar,10235,Tamalameque,4812,72,299,camara
Risaralda,15709,Marsella,7179,333,681,camara
Tolima,5901,Herveo,2607,131,210,camara
Cordoba,62880,Tierralta,32421,1929,2174,camara
Nariño,6632,El Rosario,3285,70,143,camara
Cesar,10492,Gamarra,5908,113,426,camara
Quindio,30271,Quimbaya,16008,519,1632,camara
Meta,1703,El Calvario,825,36,46,camara
Cundinamarca,85692,Zipaquira,49310,923,9373,camara
Cauca,7254,Sotara (paispamba),3719,377,258,camara
Boyaca,3382,Tipacoque,1620,74,105,camara
Amazonas,783,El Encanto,392,2,14,camara
Boyaca,3022,Topaga,1855,30,138,camara
Boyaca,2557,Viracacha,1144,39,98,camara
Casanare,16385,Tauramena,10210,254,955,camara
Santander,9684,Landazuri,4638,411,360,camara
Guainia,674,Mapiripana,202,2,9,camara
Caqueta,7835,Solano,2075,83,112,camara
Bogotá D.C.,5690937,Bogotá D.C.,2795532,49585,246861,camara
Guaviare,9369,El Retorno,5649,92,368,camara
Magdalena,40015,Plato,24671,625,1834,camara
Arauca,3653,Cravo Norte,1967,35,43,camara
Antioquia,13575,Betulia,4381,318,402,camara
Nariño,287391,Pasto,157415,3869,17858,camara
Santander,4960,Concepcion,2411,49,186,camara
Cesar,18527,San Alberto,8753,263,839,camara
Consulados,3674,Tailandia,27,1,2,camara
Sucre,43830,San Marcos,25170,2286,1542,camara
Cauca,12754,Lopez (micay),5387,40,165,camara
Huila,262365,Neiva,141326,3731,14624,camara
Boyaca,2151,Briceño,1076,40,52,camara
Antioquia,20016,Caceres,6141,501,599,camara
Santander,8677,Oiba,4246,136,380,camara
Cundinamarca,8998,Simijaca,4264,112,455,camara
Tolima,11062,San Luis,6104,185,463,camara
Cauca,4648,Florencia,2330,266,127,camara
Casanare,7170,Hato Corozal,3843,115,200,camara
Amazonas,616,Puerto Santander,250,9,21,camara
Santander,5563,La Belleza,2762,90,148,camara
Magdalena,22621,Guamal,11007,239,634,camara
Magdalena,334399,Santa Marta,168176,4015,16343,camara
Atlantico,37951,Galapa,25199,828,1867,camara
Norte De San,2673,Mutiscua,1685,52,115,camara
Huila,9066,Saladoblanco,5067,268,297,camara
Santander,3376,Jesus Maria,1416,89,110,camara
Cordoba,22210,Tuchin,14806,1401,756,camara
Tolima,5839,Falan,2999,225,281,camara
Cesar,15150,Rio De Oro,9385,257,725,camara
Antioquia,2856,Murindo,1105,65,124,camara
Norte De San,21805,Abrego,12057,426,801,camara
Cundinamarca,14732,Choconta,6890,172,823,camara
Santander,16486,Velez,7583,270,713,camara
Boyaca,1976,Almeida,858,20,56,camara
Bolivar,62044,Turbaco,34079,813,3123,camara
Cundinamarca,2706,Gutierrez,1403,31,98,camara
Santander,12896,Puente Nacional,5756,222,451,camara
Huila,16577,Rivera,8531,281,743,camara
Casanare,1227,Recetor,750,10,42,camara
